j,t,l, Inv, Inv_LB, shortage
A011, 28, Phase_II_D1_PAA_3, 0, 0, 0
A011, 28, Phase_I_128_Staging_Location, 0, 0, 0
A011, 28, Phase_II_D-Day_128_Support_Area, 0, 0, 0
A011, 28, Port_of_Belawan, 0, 0, 0
A011, 28, Banda_Aceh_Port, 22, 0, 0
A011, 29, Phase_I__II_Recon_Deep_Staging_Location, 1, 0, 0
A011, 29, Phase_II_Farp_2A, 0, 0, 0
A011, 29, Phase_I_313_Staging_Location, 0, 0, 0
A011, 29, Phase_II_D1_128__328_Supporting_Position, 0, 0, 0
A011, 29, Phase_II_D2_PAA4, 4, 0, 0
A011, 29, Phase_II_PAA2, 0, 0, 0
A011, 29, Sultan_Iskandar_Muda_Airport, 8, 0, 0
A011, 29, Medan_Air_Base, 0, 0, 0
A011, 29, Phase_I_328_Staging_Location, 0, 0, 0
A011, 29, Phase_II_D3_PAA5, 0, 0, 0
A011, 29, Phase_II_D1_PAA_3, 0, 0, 0
A011, 29, Phase_I_128_Staging_Location, 0, 0, 0
A011, 29, Phase_II_D-Day_128_Support_Area, 0, 0, 0
A011, 29, Port_of_Belawan, 0, 0, 0
A011, 29, Banda_Aceh_Port, 22, 0, 0
A011, 30, Phase_I__II_Recon_Deep_Staging_Location, 1, 0, 0
A011, 30, Phase_II_Farp_2A, 0, 0, 0
A011, 30, Phase_I_313_Staging_Location, 0, 0, 0
A011, 30, Phase_II_D1_128__328_Supporting_Position, 0, 0, 0
A011, 30, Phase_II_D2_PAA4, 3.66667, 1, 0
A011, 30, Phase_II_PAA2, 0, 0, 0
A011, 30, Sultan_Iskandar_Muda_Airport, 7.33333, 2, 0
A011, 30, Medan_Air_Base, 0, 0, 0
A011, 30, Phase_I_328_Staging_Location, 0, 0, 0
A011, 30, Phase_II_D3_PAA5, 0, 0, 0
A011, 30, Phase_II_D1_PAA_3, 0, 0, 0
A011, 30, Phase_I_128_Staging_Location, 0, 0, 0
A011, 30, Phase_II_D-Day_128_Support_Area, 0, 0, 0
A011, 30, Port_of_Belawan, 0, 0, 0
A011, 30, Banda_Aceh_Port, 22, 0, 0
A011, 31, Phase_I__II_Recon_Deep_Staging_Location, 1, 0, 0
A011, 31, Phase_II_Farp_2A, 0, 0, 0
A011, 31, Phase_I_313_Staging_Location, 0, 0, 0
A011, 31, Phase_II_D1_128__328_Supporting_Position, 0, 0, 0
A011, 31, Phase_II_D2_PAA4, 3.33333, 1, 0
A011, 31, Phase_II_PAA2, 0, 0, 0
